title,subtitle,authors,categories,average_rating,num_pages,ratings_count,published_year,combined_features
The Leader In You,The Leader In You,Dale Carnegie,Self-Help,4.09,256.0,3550.0,1995.0,"The Leader In YouThe Leader In YouDale CarnegieSelf-HelpFor nearly a century, the words and works of Dale Carnegie & Associates, Inc., have translated into proven success—a claim verified by millions of satisfied graduates; a perpetual 3,000-plus enrollment roster per week; and book sales, including the mega-bestseller How to Win Friends and Influence People, totaling over thirty million copies. Now, in The Leader In You, coauthors Stuart R. Levine and Michael A. Crom apply the famed organization’s time-tested human relations principles to demonstrate how anyone, regardless of his or her job, can harness creativity and enthusiasm to work more productively. With insights from leading figures in the corporate, entertainment, sports, academic, and political arenas—and encompassing interviews and advice from such eminent authorities as Lee Iacocca and Margaret Thatcher—this comprehensive, step-by-step guide includes strategies to help you: identify your leadership strengths; achieve your goals and increase your self-confidence; eliminate an “us vs. them” mentality; become a team player and strengthen cooperation among associates; balance work and leisure; control your worries and energize your life; and much more! The most important investment you will ever make is in yourself—once you discover the key that unlocks The Leader In You."
Anne Frank Remembered,The Story of the Woman who Helped to Hide the Frank Family,Miep Gies;Alison Leslie Gold,History,4.28,252.0,52443.0,1988.0,"Anne Frank RememberedThe Story of the Woman who Helped to Hide the Frank FamilyMiep Gies;Alison Leslie GoldHistoryThe reminiscences of Miep Gies, the woman who hid the Frank family in Amsterdam during the Second World War, presents a vivid story of life under Nazi occupation."
The Seven Habits of Highly Effective People,Restoring the Character Ethic,Stephen R. Covey,Business & Economics,4.09,368.0,2419.0,1990.0,"The Seven Habits of Highly Effective PeopleRestoring the Character EthicStephen R. CoveyBusiness & EconomicsA presentation of a holistic, integrated, principle-centered approach for solving personal and professional problems."
STINGER,STINGER,Robert McCammon,Fiction,3.87,538.0,5715.0,1988.0,"STINGERSTINGERRobert McCammonFictionIn the remote Texas town of Inferno, a creature of evil beyond anything the world has ever encountered descends. He traps the town and ravages the land with grisly executions and horrible mutations . . . until the people rise up in a final, desperate battle. From the author of Swan Song. Original."
In the Name of Love,Ann Rule's Crime Files,Ann Rule,Literary Criticism,4.03,414.0,1308.0,1998.0,"In the Name of LoveAnn Rule's Crime FilesAnn RuleLiterary CriticismA collection of true crime cases includes the case of Jerry Harris, a self-made millionaire whose disappearance prompted his wife's eight-year search for answers"
Lincoln at Gettysburg,The Words that Remade America,Garry Wills,History,4.13,317.0,119.0,1992.0,"Lincoln at GettysburgThe Words that Remade AmericaGarry WillsHistoryAn account of Lincoln's revolutionary speech describes how, in the space of 272 words, the President brought to bear the rhetoric of the Greek Revival, the categories of transcendentalism, and the imagery of the Rural Cemetary Movement"
Berserkers,The Beginning,Fred Saberhagen,Fiction,3.73,377.0,226.0,1998.0,"BerserkersThe BeginningFred SaberhagenFictionComplete at last in one volume--the beginning of the war against the berserkers! The death machines are programmed to destroy all life in the Galaxy. But one branch of Galactic humanity, descended from a world called Earth, stands in the way."
What Jane Austen Ate and Charles Dickens Knew,From Fox Hunting to Whist-the Facts of Daily Life in Nineteenth-Century England,Daniel Pool,Education,3.85,416.0,4749.0,1994.0,What Jane Austen Ate and Charles Dickens KnewFrom Fox Hunting to Whist-the Facts of Daily Life in Nineteenth-Century EnglandDaniel PoolEducationEssays provide a view of British life during the nineteenth century
Daily Reflections for Highly Effective People,Living THE SEVEN HABITS OF HIGHLY SUCCESSFUL PEOPLE Every Day,Stephen R. Covey,Business & Economics,3.9,384.0,328.0,1994.0,"Daily Reflections for Highly Effective PeopleLiving THE SEVEN HABITS OF HIGHLY SUCCESSFUL PEOPLE Every DayStephen R. CoveyBusiness & EconomicsProvides a daily reading program that keys on the author's guidelines to personal fulfillment and success and offers inspiration, insights, and motivational guidance"
American Tragedy,"Kennedy, Johnson, and the Origins of the Vietnam War",David E. Kaiser,History,3.5,576.0,29.0,2000.0,"American TragedyKennedy, Johnson, and the Origins of the Vietnam WarDavid E. KaiserHistoryDocuments the origin of American involvement in the Vietnam War and how the policies in the Eisenhower, Kennedy, and Johnson administrations led to war."
The Writer of Modern Life,Essays on Charles Baudelaire,Walter Benjamin,Literary Criticism,4.3,307.0,262.0,2006.0,"The Writer of Modern LifeEssays on Charles BaudelaireWalter BenjaminLiterary CriticismIn these essays, Benjamin challenges the image of Baudelaire as late-Romantic dreamer, and evokes instead the modern poet caught in a life-or-death struggle with the forces of the urban commodity capitalism that had emerged in Paris around 1850."
Iron Kingdom,"The Rise and Downfall of Prussia, 1600-1947","Christopher M. Clark;University Christopher Clark, MD",History,4.14,776.0,2413.0,2006.0,"Iron KingdomThe Rise and Downfall of Prussia, 1600-1947Christopher M. Clark;University Christopher Clark, MDHistoryIn the aftermath of World War II, Prussia--a centuries-old state pivotal to Europe's development--ceased to exist. In their eagerness to erase all traces of the Third Reich from the earth, the Allies believed that Prussia, the very embodiment of German militarism, had to be abolished. But as Christopher Clark reveals in this pioneering history, Prussia's legacy is far more complex. Though now a fading memory in Europe's heartland, the true story of Prussia offers a remarkable glimpse into the dynamic rise of modern Europe. What we find is a kingdom that existed nearly half a millennium ago as a patchwork of territorial fragments, with neither significant resources nor a coherent culture. With its capital in Berlin, Prussia grew from being a small, poor, disregarded medieval state into one of the most vigorous and powerful nations in Europe. Iron Kingdom traces Prussia's involvement in the continent's foundational religious and political conflagrations: from the devastations of the Thirty Years War through centuries of political machinations to the dissolution of the Holy Roman Empire, from the enlightenment of Frederick the Great to the destructive conquests of Napoleon, and from the ""iron and blood"" policies of Bismarck to the creation of the German Empire in 1871, and all that implied for the tumultuous twentieth century. By 1947, Prussia was deemed an intolerable threat to the safety of Europe; what is often forgotten, Clark argues, is that it had also been an exemplar of the European humanistic tradition, boasting a formidable government administration, an incorruptible civil service, and religious tolerance. Clark demonstrates how a state deemed the bane of twentieth-century Europe has played an incalculable role in Western civilization's fortunes. Iron Kingdom is a definitive, gripping account of Prussia's fascinating, influential, and critical role in modern times."
Ancilla to the Pre-Socratic Philosophers,"A Complete Translation of the Fragments in Diels, Fragmente Der Vorsokratiker",Mary Fitt;Kathleen Freeman,Philosophy,4.22,172.0,46.0,1983.0,"Ancilla to the Pre-Socratic PhilosophersA Complete Translation of the Fragments in Diels, Fragmente Der VorsokratikerMary Fitt;Kathleen FreemanPhilosophyThis book is a complete translation of the fragments of the pre-Socratic philosophers given in the fifth edition of Diels, Fragmente der Vorsokratiker."
Doubling the Point,Essays and Interviews,Professor of General Literature J M Coetzee;J. M. Coetzee,Literary Criticism,4.04,438.0,81.0,1992.0,"Doubling the PointEssays and InterviewsProfessor of General Literature J M Coetzee;J. M. CoetzeeLiterary CriticismNadine Gordimer has written of J.M. Coetzee that his vision goes to the nerve-centre of being. What he finds there is more than most people will ever know about themselves, and he conveys it with a brilliant writer's mastery of tension and elegance. Doubling the Point takes the reader to the center of that vision. These essays and interviews, documenting Coetzee's longtime engagement with his own culture, and with modern culture in general, constitute a literary autobiography."
The Fate of Reason,German Philosophy from Kant to Fichte,Frederick C. Beiser,Philosophy,4.49,410.0,109.0,1993.0,"The Fate of ReasonGerman Philosophy from Kant to FichteFrederick C. BeiserPhilosophyThe Fate of Reason is the first general history devoted to the period between Kant and Fichte, one of the most revolutionary and fertile in modern philosophy. The philosophers of this time broke with the two central tenets of the modem Cartesian tradition: the authority of reason and the primacy of epistemology. They also witnessed the decline of the Aufkldrung, the completion of Kant's philosophy, and the beginnings of post-Kantian idealism. Thanks to Beiser we can newly appreciate the influence of Kant's critics on the development of his philosophy. Beiser brings the controversies, and the personalities who engaged in them, to life and tells a story that has uncanny parallels with the debates of the present."
"New Worlds, Ancient Texts",The Power of Tradition and the Shock of Discovery,Anthony Grafton;Nancy G. Siraisi;April Shelford,History,3.58,296.0,70.0,1992.0,"New Worlds, Ancient TextsThe Power of Tradition and the Shock of DiscoveryAnthony Grafton;Nancy G. Siraisi;April ShelfordHistoryOn encountering what he called ""the Indies"", the Jesuit Jose de Acosta wrote, ""Having read what poets and philosophers write of the Torrid Zone, I persuaded myself that when I came to the Equator, I would not be able to endure the violent heat, but it turned out otherwise... What could I do then but laugh at Aristotle's Meteorology and his philosophy?"" Acosta's experience echoes that of his fellow travelers to the New World, and it is this experience, with its profound effect on Western culture, that Anthony Grafton charts. Describing an era of exploration that went far beyond geographic bounds, this book shows how the evidence of the New World shook the foundations of the old, upsetting the authority of the ancient texts that had guided Europeans so far afield. The intellectual shift mapped out here, a movement from book learning to empirical knowledge, did not take place easily or quickly, and Grafton presents it in all its drama and complexity. What he recounts is in effect a war of ideas fought, sometimes unwittingly by mariners, scientists, publishers, scholars, and rulers over one hundred fifty years. He shows us explorers from Cortes and Columbus to Scaliger and Munster, laden with ideas gathered from ancient and medieval texts, in their encounters with the world at large. In colorful vignettes, firsthand accounts, published debates, and copious illustrations, we see these men and their contemporaries trying to make sense of their discoveries as they sometimes confirm, sometimes contest, and finally displace traditional images and notions of the world beyond Europe. The fundamental cultural revolution that Grafton documents still reverberates in our time. By taking us into thisbattle of books versus facts, a conflict that has shaped global views for centuries, Grafton allows us to re-experience and understand the Renaissance as it continues to this day."
Origins of the Modern Mind,Three Stages in the Evolution of Culture and Cognition,Merlin Donald,Medical,4.17,424.0,88.0,1991.0,"Origins of the Modern MindThree Stages in the Evolution of Culture and CognitionMerlin DonaldMedicalThis bold and brilliant book asks the ultimate question of life sciences: How did the human mind acquire its incomparable power? Origins of the Modern Mind traces the evolution of human culture and cognition from primitive apes to the era of artificial intelligence, and presents an original theory of how the human mind evolved from its presymbolic form. Illustrated with line drawings."
Playing in the Dark,Whiteness and the Literary Imagination,Toni Morrison,Literary Criticism,4.22,110.0,3428.0,1992.0,"Playing in the DarkWhiteness and the Literary ImaginationToni MorrisonLiterary CriticismExamines the effect of a racially divided society on ninteenth century American writings, and discusses works by Poe, Hawthorne, Melville, and Twain"
The Principles of Psychology,"The principles of psychology / William James. Notes, appendixes, apparatus, general index",William James,Psychology,4.18,1376.0,3.0,1981.0,"The Principles of PsychologyThe principles of psychology / William James. Notes, appendixes, apparatus, general indexWilliam JamesPsychologyPresents an authoritative new edition of the classic text that corrects hundreds of errors and incorporates all of the changes James made in the eight printings he supervised, along with revisions and new material the author added to his own annotated copy."
Sources of the Self,The Making of the Modern Identity,Charles Taylor,Philosophy,4.19,624.0,1303.0,1989.0,"Sources of the SelfThe Making of the Modern IdentityCharles TaylorPhilosophyDiscusses contemporary notions of the self, and examines their origins, development, and effects"
"Time's Arrow, Time's Cycle",Myth and Metaphor in the Discovery of Geological Time,Stephen Jay Gould,Science,3.92,240.0,311.0,1987.0,"Time's Arrow, Time's CycleMyth and Metaphor in the Discovery of Geological TimeStephen Jay GouldScienceExamines scientific theories pertaining to the measurement of earth's history"
Wittgenstein on Rules and Private Language,An Elementary Exposition,Saul A. Kripke,Philosophy,4.01,160.0,846.0,1982.0,Wittgenstein on Rules and Private LanguageAn Elementary ExpositionSaul A. KripkePhilosophyIn this book Saul Kripke brings his powerful philosophical intelligence to bear on Wittgenstein's analysis of the notion of following a rule.
De officiis,C. Philosophical Treatises,Marcus Tullius Cicero;Walter Miller,Fiction,3.95,448.0,104.0,1975.0,"De officiisC. Philosophical TreatisesMarcus Tullius Cicero;Walter MillerFictionCicero (Marcus Tullius, 106–43 BCE), Roman lawyer, orator, politician and philosopher, of whom we know more than of any other Roman, lived through the stirring era which saw the rise, dictatorship, and death of Julius Caesar in a tottering republic. In his political speeches especially and in his correspondence we see the excitement, tension and intrigue of politics and the part he played in the turmoil of the time. Of about 106 speeches, delivered before the Roman people or the Senate if they were political, before jurors if judicial, 58 survive (a few of them incompletely). In the fourteenth century Petrarch and other Italian humanists discovered manuscripts containing more than 900 letters of which more than 800 were written by Cicero and nearly 100 by others to him. These afford a revelation of the man all the more striking because most were not written for publication. Six rhetorical works survive and another in fragments. Philosophical works include seven extant major compositions and a number of others; and some lost. There is also poetry, some original, some as translations from the Greek. The Loeb Classical Library edition of Cicero is in twenty-nine volumes."
Plato in twelve volumes,Symposium ; Gorgias. Lysis,Plato,Literary Criticism,4.39,560.0,426.0,1975.0,"Plato in twelve volumesSymposium ; Gorgias. LysisPlatoLiterary CriticismPlato, the great philosopher of Athens, was born in 427 BCE. In early manhood an admirer of Socrates, he later founded the famous school of philosophy in the grove Academus. Much else recorded of his life is uncertain; that he left Athens for a time after Socrates' execution is probable; that later he went to Cyrene, Egypt, and Sicily is possible; that he was wealthy is likely; that he was critical of 'advanced' democracy is obvious. He lived to be 80 years old. Linguistic tests including those of computer science still try to establish the order of his extant philosophical dialogues, written in splendid prose and revealing Socrates' mind fused with Plato's thought. In Laches, Charmides, and Lysis, Socrates and others discuss separate ethical conceptions. Protagoras, Ion, and Meno discuss whether righteousness can be taught. In Gorgias, Socrates is estranged from his city's thought, and his fate is impending. The Apology (not a dialogue), Crito, Euthyphro, and the unforgettable Phaedo relate the trial and death of Socrates and propound the immortality of the soul. In the famous Symposium and Phaedrus, written when Socrates was still alive, we find the origin and meaning of love. Cratylus discusses the nature of language. The great masterpiece in ten books, the Republic, concerns righteousness (and involves education, equality of the sexes, the structure of society, and abolition of slavery). Of the six so-called dialectical dialogues Euthydemus deals with philosophy; metaphysical Parmenides is about general concepts and absolute being; Theaetetus reasons about the theory of knowledge. Of its sequels, Sophist deals with not-being; Politicus with good and bad statesmanship and governments; Philebus with what is good. The Timaeus seeks the origin of the visible universe out of abstract geometrical elements. The unfinished Critias treats of lost Atlantis. Unfinished also is Plato's last work of the twelve books of Laws (Socrates is absent from it), a critical discussion of principles of law which Plato thought the Greeks might accept. The Loeb Classical Library edition of Plato is in twelve volumes."
History of the Peloponnesian War,In Four Volumes,Thucydides,History,4.28,480.0,33.0,1976.0,"History of the Peloponnesian WarIn Four VolumesThucydidesHistoryThe Peloponnesian War was really three conflicts (431 421, 415 413, and 413 404 BCE) that Thucydides was still unifying into one account when he died some time before 396 BCE. Although unfinished and as a whole unrevised, in brilliance of description and depth of insight this history has no superior."
Hiero,Agesilaus ; Constitution of the Lacedaemonians ; Ways and Means ; Cavalry Commander ; Art of Horsemanship ; On Hunting ; Constitution of the Athenians,Xenophon,Electronic books,3.94,576.0,18.0,1925.0,"HieroAgesilaus ; Constitution of the Lacedaemonians ; Ways and Means ; Cavalry Commander ; Art of Horsemanship ; On Hunting ; Constitution of the AtheniansXenophonElectronic booksMinor works by Xenophon (c. 430-c. 354 BCE) include Hiero, a dialogue on government; Agesilaus, in praise of that king; Constitution of Lacedaemon, on the Spartan system; Ways and Means, on the finances of Athens; a manual of Horsemanship. The Constitution of the Athenians, though not by Xenophon, is an interesting document on Athenian politics. Xenophon (ca. 430 to ca. 354 BCE) was a wealthy Athenian and friend of Socrates. He left Athens in 401 and joined an expedition including ten thousand Greeks led by the Persian governor Cyrus against the Persian king. After the defeat of Cyrus, it fell to Xenophon to lead the Greeks from the gates of Babylon back to the coast through inhospitable lands. Later he wrote the famous vivid account of this ""March Up-Country"" (Anabasis); but meanwhile he entered service under the Spartans against the Persian king, married happily, and joined the staff of the Spartan king, Agesilaus. But Athens was at war with Sparta in 394 and so exiled Xenophon. The Spartans gave him an estate near Elis where he lived for years writing and hunting and educating his sons. Reconciled to Sparta, Athens restored Xenophon to honour but he preferred to retire to Corinth. Xenophon's Anabasis is a true story of remarkable adventures. Hellenica, a history of Greek affairs from 411 to 362, begins as a continuation of Thucydides' account. There are four works on Socrates (collected in Volume IV of the Loeb Xenophon edition). In Memorabilia Xenophon adds to Plato's picture of Socrates from a different viewpoint. The Apology is an interesting complement to Plato's account of Socrates' defense at his trial. Xenophon's Symposium portrays a dinner party at which Socrates speaks of love; and Oeconomicus has him giving advice on household management and married life. Cyropaedia, a historical romance on the education of Cyrus (the Elder), reflects Xenophon's ideas about rulers and government; the Loeb edition is in two volumes. We also have his Hiero, a dialogue on government; Agesilaus, in praise of that king; Constitution of Lacedaemon (on the Spartan system); Ways and Means (on the finances of Athens); Manual for a Cavalry Commander; a good manual of Horsemanship; and a lively Hunting with Hounds. The Constitution of the Athenians, though clearly not by Xenophon, is an interesting document on politics at Athens. These eight books are collected in the last of the seven volumes of the Loeb Classical Library edition of Xenophon."
Epictetus,"the Discourses as reported by Arrian, the Manual, and fragments",Epictetus,Philosophy,4.35,576.0,107.0,1967.0,"Epictetusthe Discourses as reported by Arrian, the Manual, and fragmentsEpictetusPhilosophyThese volumes contain the teachings (""Discourses"") of the slave-philosopher Epictetus (55 A.D-135 AD). Also included in volume 2 are ""Fragments"", additional pieces from other (now lost) books of the ""Discourses""; and ""The Encheirdion"", a collection of practical precepts for stoicism which can be seen as a handbook for life."
Αλκηστισ,"African Americans, Jews, and American Popular Song",Euripides,Alcestis (Greek mythology),4.47,464.0,30.0,1994.0,"ΑλκηστισAfrican Americans, Jews, and American Popular SongEuripidesAlcestis (Greek mythology)Euripides of Athens (ca. 485-406 BC), famous in every age for the pathos, terror, surprising plot twists, and intellectual probing of his dramatic creations wrote nearly ninety plays. Of these, eighteen (plus a play of unknown authorship mistakenly included with his works) have come down to us from antiquity. In this first volume of a new Loeb edition of Euripides David Kovacs gives us a freshly edited Greek text of three plays and an accurate and graceful translation with explanatory notes. Alcestis is the story of a woman who agrees--in order to save her husband's life--to die in his place. Medea is a tragedy of revenge in which Medea kills her own children, as well as their father's new wife to punish him for his desertion. The volume begins with Cyclops, a satyr play--the only complete example of this genre to survive. Each play is preceded by an introduction. In a general introduction Kovacs demonstrates that the biographical tradition about Euripides---parts of which view him as a subverter of morality, religion, and art--cannot be relied on. He argues that this tradition has often furnished the unacknowledged starting point for interpretation, and that the way is now clear for an unprejudiced consideration of the plays themselves. David Kovacs, Professor of Classics at the University of Virginia has written widely about Euripides."
The Complete Collected Poems of Maya Angelou,Poems (1965-1992),Maya Angelou,Poetry,4.42,273.0,7701.0,1994.0,"The Complete Collected Poems of Maya AngelouPoems (1965-1992)Maya AngelouPoetryPresents a definitive collection of poetry from Angelou's previous anthologies--Just Give Me a Cool Drink of Water, Oh Pray my Wings Gonna Fit Me Well, And Still I Rise, I Shall Not Be Moved, On the Pulse of Morning, and Shaker, Why Don't You Sing? 50,000 first printing."
In the Kitchen with Rosie,Oprah's Favorite Recipes,Rosie Daley,Cooking,3.03,142.0,752.0,1994.0,In the Kitchen with RosieOprah's Favorite RecipesRosie DaleyCookingWith 50 recipes and 8 pages of full-color photographs by Micheal McLaughlin.
Rabbit Angstrom,A Tetralogy,John Updike,Fiction,4.26,1520.0,1492.0,1995.0,"Rabbit AngstromA TetralogyJohn UpdikeFictionFour novels trace the life of Harry ""Rabbit"" Angstrom against the changing American society from the sixties to the eighties"
A fine balance,a novel,Rohinton Mistry,Fiction,4.36,624.0,51.0,1996.0,"A fine balancea novelRohinton MistryFictionThe eagerly awaited novel from the author of the award-winning Such a Long Journey is set in India in the mid-1970s. A ""State of Internal Emergency"" has been declared, and in the days of bleakness and hope that follow, four disparate people find their lives becoming unexpectedly and inextricably entwined. Author readings."
Stars in Their Courses,"The Gettysburg Campaign, June-July 1863",Shelby Foote,History,4.45,304.0,1407.0,1994.0,"Stars in Their CoursesThe Gettysburg Campaign, June-July 1863Shelby FooteHistoryRecreates the Battle of Gettysburg from both the Confederate and Union perspectives"
"In Search of Lost Time, Volume IV",Sodom and Gomorrah (A Modern Library E-Book),Marcel Proust,Fiction,,,,2000.0,"In Search of Lost Time, Volume IVSodom and Gomorrah (A Modern Library E-Book)Marcel ProustFiction'Flower and plant have no conscious will. They are shameless, exposing their genitals. And so in a sense are Proust's men and women . . . shameless. There is no question of right and wrong. Homosexuality . . . is as devoid of moral implications as the mode of fecundation of the Primula veris or the Lythrum salicoria.--------------------------------------------------------------------------------------SAMUEL BECKETT The theme of Sodom and Gomorrah is sexual ambiguity. In the opening scene, the narrator secretly observes a sexual encounter between two men that is played out 'as though in obedience to the laws of an occult art' The book unfolds on matters of 'vice,' 'inversion,' mystery, desire, love, longing, and illusion. The final volume of a new, definitive text of A la recherche du temps perdu was published by the Bibliotheque de la Pleiade in 1989. For this authoritative English-language edition, D. J. Enright has revised the late Terence Kilmartin's acclaimed reworking of C. K. Scott Moncrieff's translation to take into account the new French editions."
The Red and the Black,A Chronicle of 1830,Stendhal,Fiction,3.87,560.0,76.0,2003.0,"The Red and the BlackA Chronicle of 1830StendhalFictionDuring the Bourbon Restoration, Julien Sorel disregards all moral codes as he attempts to accumulate power."
The Killer Angels,A Novel of the Civil War,Michael Shaara,Fiction,4.32,337.0,410.0,2004.0,"The Killer AngelsA Novel of the Civil WarMichael ShaaraFictionIn an effort to draw out the Union Army of the Potomac, the Confederate Army invades the North, and the armies clash in a bloody battle at Gettysburg, Pennsylvania, for four days."
The Murders in the Rue Morgue,The Dupin Tales,Edgar Allan Poe,Fiction,3.87,160.0,5994.0,2006.0,"The Murders in the Rue MorgueThe Dupin TalesEdgar Allan PoeFictionThe story of a retired detective who is called upon to solve a perplexing pair of murders is accompanied by commentary, biographical notes, and a reading group guide."
Darkness Visible,A Memoir of Madness,William Styron,Biography & Autobiography,4.04,96.0,378.0,2007.0,"Darkness VisibleA Memoir of MadnessWilliam StyronBiography & AutobiographyThe author chronicles his descent into depression, discussing not only his own experience and recovery but also how others can find help."
Where I'm Calling from,New and Selected Stories,Raymond Carver,Fiction,4.42,544.0,17969.0,1989.0,"Where I'm Calling fromNew and Selected StoriesRaymond CarverFictionA unique collection by an extraordinary writer, this collection of Carver's best spans his literary career and includes seven new works. Since his untimely death in August of 1988, Raymond Carver's popularity has increased dramatically."
What We Talk about when We Talk about Love,Stories,Raymond Carver,Fiction,4.18,159.0,34613.0,1989.0,"What We Talk about when We Talk about LoveStoriesRaymond CarverFictionStories feature men and women without education, insight, or prospects, who, ironically, are too unimaginative to ever give up"
Cathedral,Stories,Raymond Carver,Fiction,4.29,230.0,21140.0,1989.0,"CathedralStoriesRaymond CarverFictionTwelve stories deal with loneliness, loss, the tragic banality of everyday life, and redemption."
The History of Sexuality,Women's Decisions Concerning Contraception,Michel Foucault,Sex customs,4.04,176.0,14218.0,1990.0,"The History of SexualityWomen's Decisions Concerning ContraceptionMichel FoucaultSex customsThis controversial account, by one of the greatest intellectuals of the 20th century, explores the evolving social, economic and political forces that have shaped our attitudes to sex."
"I, Claudius","From the Autobiography of Tiberius Claudius, Born 10 B.C., Murdered and Deified A.D. 54",Robert Graves,Fiction,4.27,468.0,43469.0,1989.0,"I, ClaudiusFrom the Autobiography of Tiberius Claudius, Born 10 B.C., Murdered and Deified A.D. 54Robert GravesFictionThe emperor Claudius tells of his life during the reigns of Augustus, Tiberius, and Caligula and the events that led to his rise to power in a classic novel reconstructing ancient Rome"
Aké,The Years of Childhood,Wole Soyinka,Biography & Autobiography,3.92,230.0,1213.0,1981.0,"AkéThe Years of ChildhoodWole SoyinkaBiography & AutobiographyThe Nigerian playwright, poet, and novelist recounts his first eleven years growing up under the influence of his parents, traditional Yoruba customs, and Christian missionaries"
Mary,A Novel,Владимир Владимирович Набоков,Fiction,3.67,114.0,3267.0,1989.0,MaryA NovelВладимир Владимирович НабоковFictionLyrical prose records a young Russian exile's recollections of his first love affair
The Complete Monty Python's Flying Circus,All the Words,Graham Chapman;Monty Python (Comedy troupe);Terry Gilliam;Eric Idle;Terry Jones,Humor,4.44,384.0,1191.0,1989.0,"The Complete Monty Python's Flying CircusAll the WordsGraham Chapman;Monty Python (Comedy troupe);Terry Gilliam;Eric Idle;Terry JonesHumorPresents the complete scripts of the Monty Python television series, first shown on BBC televison from 1969 to 1974"
The Defense,A Novel,Vladimir Vladimirovich Nabokov;Michael Scammell,Fiction,3.95,256.0,6967.0,1990.0,"The DefenseA NovelVladimir Vladimirovich Nabokov;Michael ScammellFictionLuzhin's prodigious talent at chess earns him the title of grandmaster, but his passion soon leads to obsession, and his world falls apart during a championship match when his defense fades under his opponent's surprising strategy."
Maus II,a survivor's tale : and here my troubles began,Art Spiegelman,Biography & Autobiography,4.39,144.0,111555.0,1991.0,"Maus IIa survivor's tale : and here my troubles beganArt SpiegelmanBiography & AutobiographyIn a comic-book-style tale of the author's parents, Vladek and Anja, Vladek survives Auschwitz, is reunited with Anja, and sires young Art"
Hit Men,Power Brokers and Fast Money Inside the Music Business,Fredric Dannen,Business & Economics,3.95,432.0,664.0,1991.0,Hit MenPower Brokers and Fast Money Inside the Music BusinessFredric DannenBusiness & EconomicsAn inside look at the multibillion-dollar music industry examines the business practices of the big record labels and includes profiles of the kingpins of the industry
The Beggar Maid,Stories of Flo and Rose,Alice Munro,Fiction,3.93,210.0,2688.0,1991.0,The Beggar MaidStories of Flo and RoseAlice MunroFictionOriginally published as: Who do you think you are? 1978.
A Midwife's Tale,"The Life of Martha Ballard, Based on Her Diary, 1785-1812",Laurel Ulrich,Biography & Autobiography,3.99,444.0,4933.0,1991.0,"A Midwife's TaleThe Life of Martha Ballard, Based on Her Diary, 1785-1812Laurel UlrichBiography & AutobiographyPresents the life of Martha Ballard, a midwife in Maine during the eighteenth century, by drawing on the detailed diary she kept for twenty-seven years of her life"
The Rebel,An Essay on Man in Revolt,Albert Camus,Philosophy,4.14,320.0,8830.0,1991.0,"The RebelAn Essay on Man in RevoltAlbert CamusPhilosophyThe author traces the ways in which the theories of philosophers such as Rousseau, Hegel and Marx have been misused."
The Art of Fiction,Notes on Craft for Young Writers,John Gardner,Language Arts & Disciplines,4.0,224.0,4877.0,1991.0,"The Art of FictionNotes on Craft for Young WritersJohn GardnerLanguage Arts & DisciplinesA guide to creative writing examines diverse facets of writing technique, and contains analyses of works by writers from Homer to Mark Twain"
Crime and Punishment,A Novel in Six Parts with Epilogue,Fyodor Dostoyevsky,Fiction,4.2,564.0,7163.0,1993.0,Crime and PunishmentA Novel in Six Parts with EpilogueFyodor DostoyevskyFictionA man must endure relentless physical and metal punishments as retribution for his act of murder
Touching the Rock,An Experience of Blindness,John M. Hull,Biography & Autobiography,3.97,248.0,128.0,1992.0,"Touching the RockAn Experience of BlindnessJohn M. HullBiography & AutobiographyAn intensely personal exploration of blindness reveals a world of sound and echo, of people without faces, of the strange relationship between waking and dreaming, and of new perceptions of nature, personality, and human experience"
American Psycho,A Novel,Bret Easton Ellis,Fiction,3.82,399.0,193100.0,1991.0,"American PsychoA NovelBret Easton EllisFictionPatrick Bateman is twenty-six and works on Wall Street; he is handsome, sophisticated, charming and intelligent. He is also a psychopath. American Psycho is a bleak, bitter, black comedy about a world we all recognize but do not wish to face and it takes us to a head-on collision with America's greatest dream - and its worst nightmare."
The Hamlet,The Corrected Text,William Faulkner,Fiction,3.87,409.0,4082.0,1991.0,"The HamletThe Corrected TextWilliam FaulknerFictionTraces the growing power of Flem Snopes, a white-trash farmer, in the Mississippi town of Frenchman's Bend"
Athena,A Novel,John Banville,Fiction,3.65,240.0,379.0,1996.0,"AthenaA NovelJohn BanvilleFictionAn artist with a violent past meets a woman who appears to emerge from his paintings, and their subsequent compulsive affair is reflected in his artwork, until the woman suddenly vanishes. Reprint. 10,000 first printing."
"Caramelo, Or, Puro Cuento",A Novel,Sandra Cisneros,Fiction,3.89,441.0,9001.0,2003.0,"Caramelo, Or, Puro CuentoA NovelSandra CisnerosFictionDuring her family's annual car trip from Chicago to Mexico City, Lala Reyes listens to stories about her family, including her grandmother, the descendant of famous shawl makers, one of which has come into Lala's possession."
The grass harp,including A tree of night and other stories. Truman Capote,Truman Capote,Fiction,4.01,272.0,4451.0,1993.0,The grass harpincluding A tree of night and other stories. Truman CapoteTruman CapoteFictionThe protagonists of these nine short stories learn to accept the harsh loneliness of life
Sanctuary,The Corrected Text,William Faulkner,Fiction,3.64,317.0,8999.0,1993.0,SanctuaryThe Corrected TextWilliam FaulknerFictionAn assortment of perverse characters act out this dramatic story of the kidnapping of a Mississippi debutante
